id;telephone;minute;megabit;created_at
1;+33 60925235;30624;45689;2022-11-03T11:58:04
2;0681205554XX;39885;14135;2022-11-03T13:53:40
3;+33 30058590;26847;74184;2022-11-03T13:20:36
4;0246062393XX;81150;19412;2022-11-02T19:22:30
5;+33 67880923;7649;1395;2022-11-03T16:24:59
6;0119463873XX;16414;47338;2022-11-03T09:53:47
7;0747572524XX;54520;86834;2022-11-02T20:42:14
8;0296175390XX;34864;49159;2022-11-03T02:38:10
9;0510512849XX;30605;71031;2022-11-02T22:58:17
10;+33 67857291;23165;6006;2022-11-03T00:01:46
