id;telephone;created_at;montant;choix_du_gain
1;+33 34249381;2022-11-03T03:02:55;6471;INTERNET
2;0511885794XX;2022-11-03T01:21:01;39210;INTERNET
3;0730738103XX;2022-11-03T05:46:18;24596;INTERNET
4;+33 48467655;2022-11-02T22:48:43;50527;INTERNET
5;0656188650XX;2022-11-02T21:13:53;75375;INTERNET
6;+33 25420366;2022-11-03T12:09:07;25341;INTERNET
7;0622088694XX;2022-11-02T21:07:05;26137;INTERNET
8;+33 59086647;2022-11-03T03:00:56;90880;MINUTES
9;+33 60588533;2022-11-03T11:48:11;47528;INTERNET
10;0412632430XX;2022-11-03T00:50:58;82876;MINUTES
